Location	Name	ID	Count	Slots
Any Slot	Wooden Shield +4	9006	1	10
Any Slot-Slot2	Empty	0	0	0
Any Slot-Slot7	Empty	0	0	0
Any Slot-Slot8	Empty	0	0	0
Any Slot-Slot9	Empty	0	0	0
Any Slot-Slot10	Empty	0	0	0
Ear	Brass Earring +3	10351	1	10
Ear-Slot7	Empty	0	0	0
Ear-Slot8	Empty	0	0	0
Ear-Slot9	Empty	0	0	0
Head	Raw-Hide Skullcap +2	2137	1	10
Head-Slot2	Empty	0	0	0
Head-Slot7	Empty	0	0	0
Head-Slot8	Empty	0	0	0
Face	Cloth Veil +4	1002	1	10
Face-Slot7	Empty	0	0	0
Face-Slot8	Empty	0	0	0
Face-Slot9	Empty	0	0	0
Face-Slot10	Empty	0	0	0
Ear	Empty	0	0	0
Neck	Wood Elf Scout Bauble +2	177851	1	10
Neck-Slot7	Empty	0	0	0
Neck-Slot8	Empty	0	0	0
Shoulders	Crushbone Shoulderpads +5	13319	1	10
Shoulders-Slot7	Empty	0	0	0
Shoulders-Slot8	Empty	0	0	0
Shoulders-Slot9	Empty	0	0	0
Shoulders-Slot10	Empty	0	0	0
Arms	Pristine Studded Leather Sleeves +2	1884	1	10
Arms-Slot2	Empty	0	0	0
Arms-Slot7	Empty	0	0	0
Arms-Slot8	Empty	0	0	0
Back	Torn Elvish Tapestry +2	177862	1	10
Back-Slot7	Empty	0	0	0
Back-Slot8	Empty	0	0	0
Wrist	Legionnaire's Bracer +7	2299	1	10
Wrist-Slot2	Empty	0	0	0
Wrist-Slot7	Empty	0	0	0
Wrist-Slot8	Empty	0	0	0
Wrist-Slot9	Empty	0	0	0
Wrist-Slot10	Empty	0	0	0
Wrist	Cloth Wristband +5	1009	1	10
Wrist-Slot2	Empty	0	0	0
Wrist-Slot7	Empty	0	0	0
Wrist-Slot8	Empty	0	0	0
Wrist-Slot9	Empty	0	0	0
Wrist-Slot10	Empty	0	0	0
Range	Deterioriated Ancient Faydark Longbow +4	177863	1	10
Range-Slot1	Empty	0	0	0
Range-Slot7	Empty	0	0	0
Range-Slot8	Empty	0	0	0
Range-Slot9	Empty	0	0	0
Range-Slot10	Empty	0	0	0
Hands	Pristine Studded Leather Gloves +5	1885	1	10
Hands-Slot2	Empty	0	0	0
Hands-Slot7	Empty	0	0	0
Hands-Slot8	Empty	0	0	0
Hands-Slot9	Empty	0	0	0
Hands-Slot10	Empty	0	0	0
Primary	Shimmering Ruby Stiletto +3	5820	1	10
Primary-Slot2	Empty	0	0	0
Primary-Slot7	Empty	0	0	0
Primary-Slot8	Empty	0	0	0
Primary-Slot9	Empty	0	0	0
Secondary	The Baron's Blade +3	177773	1	10
Secondary-Slot1	Empty	0	0	0
Secondary-Slot7	Empty	0	0	0
Secondary-Slot8	Empty	0	0	0
Secondary-Slot9	Empty	0	0	0
Fingers	Platinum Ring +4	13734	1	10
Fingers-Slot7	Empty	0	0	0
Fingers-Slot8	Empty	0	0	0
Fingers-Slot9	Empty	0	0	0
Fingers-Slot10	Empty	0	0	0
